name,Sa,Sz,Str,Spc,Sdr,Sq,Ssk,Sku,Sp,Sv,Sal,Std,Sdq,Spd,Sk,Spk,Svk,Smr1,Smr2,Sxp,Vvv,Vvc,Vmp,Vmc,Area size
Image2373,0.282,10.744,0.814,266.724,0.01140,0.401,0.745,8.852,4.590,6.155,18.705,90.000,0.155,30627.454,0.744,0.681,0.433,14.547,90.535,0.975,0.040,0.443,0.036,0.278,373424.654
Image2374,0.359,10.513,0.565,441.079,0.02485,0.518,0.231,10.032,4.880,5.633,12.790,90.000,0.231,26657.775,0.968,0.814,0.658,13.624,90.339,1.170,0.057,0.548,0.042,0.354,373424.654
Image2375,0.230,9.754,0.667,196.476,0.006841,0.334,1.107,11.193,3.940,5.814,13.307,84.100,0.120,18028.622,0.592,0.580,0.356,13.442,87.414,0.775,0.037,0.336,0.032,0.227,373424.654
Image2376,0.297,15.135,0.709,245.654,0.007592,0.436,1.923,12.760,5.313,9.822,19.726,18.400,0.126,21391.711,0.768,0.860,0.336,14.175,89.841,1.123,0.037,0.466,0.046,0.289,373424.654
Image2377,0.484,24.174,0.779,408.254,0.02808,0.784,1.776,22.030,9.919,14.255,16.059,146.100,0.254,27401.251,1.095,1.525,0.940,15.376,89.458,1.885,0.077,0.728,0.086,0.429,373424.654
Image2378,0.344,9.498,0.702,318.505,0.01375,0.463,0.721,6.384,3.919,5.579,16.354,90.000,0.171,18688.893,0.975,0.691,0.420,14.481,91.150,1.074,0.044,0.560,0.035,0.357,373424.654
Image2379,0.344,8.620,0.512,407.925,0.02447,0.481,0.133,7.852,3.471,5.149,10.892,90.000,0.229,27242.894,0.939,0.737,0.578,13.887,89.994,1.115,0.053,0.538,0.038,0.348,373424.654
Image2380,0.293,41.960,0.871,278.796,0.02490,0.581,-9.434,419.656,5.837,36.122,10.946,0.000,0.252,24271.674,0.633,0.928,0.693,13.749,86.125,1.104,0.062,0.385,0.053,0.255,373424.654
Image2381,0.352,17.534,0.685,332.013,0.01668,0.530,0.068,26.022,5.548,11.986,18.164,179.700,0.191,24116.000,0.849,0.986,0.587,16.518,91.950,1.397,0.046,0.579,0.053,0.325,373424.654
Image2382,0.498,19.341,0.643,500.126,0.03928,0.774,0.307,13.432,7.707,11.634,12.870,18.400,0.296,30742.867,1.108,1.312,1.177,17.339,89.895,1.863,0.089,0.781,0.072,0.444,373424.654
Image2383,0.505,18.014,0.532,626.069,0.04575,0.741,-0.226,11.634,5.622,12.391,11.286,10.000,0.319,21662.797,1.243,1.133,1.094,15.880,89.418,1.679,0.092,0.788,0.058,0.475,373424.654
Image2384,0.604,13.893,0.596,845.113,0.09147,0.903,-0.239,7.863,6.131,7.762,9.853,11.900,0.452,36548.422,1.349,1.408,1.548,16.716,87.638,2.038,0.131,0.942,0.070,0.547,373424.654
Image2385,0.296,14.149,0.663,348.602,0.01871,0.444,0.865,17.122,6.710,7.439,13.893,143.100,0.200,30393.944,0.749,0.680,0.612,13.807,88.032,0.927,0.056,0.431,0.036,0.285,373424.654
Image2386,0.508,20.661,0.425,466.621,0.04691,0.813,-0.610,16.222,6.600,14.061,12.851,0.000,0.326,32702.208,1.054,1.317,1.306,16.933,86.387,1.817,0.116,0.760,0.071,0.440,373424.654
Image2387,0.721,28.255,0.571,666.661,0.08128,1.200,0.705,11.968,9.822,18.433,17.683,21.100,0.434,37278.478,1.233,2.290,1.774,18.787,85.155,3.118,0.160,1.086,0.134,0.572,373424.654
Image2388,0.887,28.198,0.600,1235.667,0.1774,1.286,0.034,7.056,9.519,18.680,11.185,48.200,0.648,37130.856,2.051,1.994,1.913,15.808,86.041,2.928,0.184,1.345,0.102,0.842,373424.654
